sample index,audio_file_name,image_file_name,Layer number,class_name
1,sample_1_1.wav,sample_1_1.jpg,1,Defect-free
2,sample_1_2.wav,sample_1_2.jpg,1,Defect-free
3,sample_1_3.wav,sample_1_3.jpg,1,Defect-free
4,sample_1_4.wav,sample_1_4.jpg,1,Defect-free
5,sample_1_5.wav,sample_1_5.jpg,1,Defect-free
6,sample_1_6.wav,sample_1_6.jpg,1,Defect-free
7,sample_1_7.wav,sample_1_7.jpg,1,Defect-free
8,sample_1_8.wav,sample_1_8.jpg,1,Defect-free
9,sample_1_9.wav,sample_1_9.jpg,1,Defect-free
10,sample_1_10.wav,sample_1_10.jpg,1,Defect-free
11,sample_1_11.wav,sample_1_11.jpg,1,Defect-free
12,sample_1_12.wav,sample_1_12.jpg,1,Defect-free
13,sample_1_13.wav,sample_1_13.jpg,1,Defect-free
14,sample_1_14.wav,sample_1_14.jpg,1,Defect-free
15,sample_1_15.wav,sample_1_15.jpg,1,Defect-free
16,sample_1_16.wav,sample_1_16.jpg,1,Defect-free
17,sample_1_17.wav,sample_1_17.jpg,1,Defect-free
18,sample_1_18.wav,sample_1_18.jpg,1,Defect-free
19,sample_1_19.wav,sample_1_19.jpg,1,Defect-free
20,sample_1_20.wav,sample_1_20.jpg,1,Defect-free
21,sample_1_21.wav,sample_1_21.jpg,1,Defect-free
22,sample_1_22.wav,sample_1_22.jpg,1,Defect-free
23,sample_1_23.wav,sample_1_23.jpg,1,Defect-free
24,sample_1_24.wav,sample_1_24.jpg,1,Defect-free
25,sample_1_25.wav,sample_1_25.jpg,1,Defect-free
26,sample_1_26.wav,sample_1_26.jpg,1,Defect-free
27,sample_1_27.wav,sample_1_27.jpg,1,Defect-free
28,sample_1_28.wav,sample_1_28.jpg,1,Defect-free
29,sample_1_29.wav,sample_1_29.jpg,1,Defect-free
30,sample_1_30.wav,sample_1_30.jpg,1,Defect-free
31,sample_1_31.wav,sample_1_31.jpg,1,Defect-free
32,sample_1_32.wav,sample_1_32.jpg,1,Defect-free
33,sample_1_33.wav,sample_1_33.jpg,1,Defect-free
34,sample_1_34.wav,sample_1_34.jpg,1,Defect-free
35,sample_1_35.wav,sample_1_35.jpg,1,Defect-free
36,sample_1_36.wav,sample_1_36.jpg,1,Defect-free
37,sample_1_37.wav,sample_1_37.jpg,1,Defect-free
38,sample_1_38.wav,sample_1_38.jpg,1,Defect-free
39,sample_1_39.wav,sample_1_39.jpg,1,Defect-free
40,sample_1_40.wav,sample_1_40.jpg,1,Defect-free
41,sample_1_41.wav,sample_1_41.jpg,1,Defect-free
42,sample_1_42.wav,sample_1_42.jpg,1,Defect-free
